Name,Price,Picture link
Classic Fit Poplin Shirt,"€ 109,00",https://www.ralphlauren.eu/pt/en/classic-fit-poplin-shirt-442405.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar442405_colorname=White
Classic Fit Cotton Chino Shorts,"€ 109,00 - € 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-cotton-chino-shorts-461486.html?cgid=men-big-tall&dwvar461486_colorname=Luxury%20Tan&webcat=MEN%2FClothing%2FBig%20%20%20Tall
The Iconic Rugby Shirt,"€ 155,00",https://www.ralphlauren.eu/pt/en/the-iconic-rugby-shirt-492004.html?cgid=men-big-tall&dwvar492004_colorname=College%20Green&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Double-Knit Jogger,"€ 119,00",https://www.ralphlauren.eu/pt/en/double-knit-jogger-446992.html?dwvar446992_colorname=Lt%20Sport%20Heather&cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Down CPO Jacket,"€ 399,00",https://www.ralphlauren.eu/pt/en/down-cpo-jacket-509360.html?cgid=men-big-tall&dwvar509360_colorname=Aviator%20Navy&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Cotton Mesh Rugby,"€ 199,00",https://www.ralphlauren.eu/pt/en/classic-fit-cotton-mesh-rugby-487151.html?cgid=men-big-tall&dwvar487151_colorname=Classic%20Wine%20Multi&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Crewneck T-Shirt,"€ 75,00 - € 79,00",https://www.ralphlauren.eu/pt/en/classic-fit-crewneck-t-shirt-493276A1.html?cgid=men-big-tall&dwvar493276A1_colorname=Black%20Marl%20Heather&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Cotton Crewneck Jumper,"€ 149,00",https://www.ralphlauren.eu/pt/en/cotton-crewneck-jumper-483629.html?cgid=men-big-tall&webcat=MEN%2FClothing%2FBig%20%20%20Tall&dwvar483629_colorname=College%20Green%2FNavy%2FWhite
Classic Fit Mesh Polo Shirt,"€ 155,00",https://www.ralphlauren.eu/pt/en/classic-fit-mesh-polo-shirt-492046.html?cgid=men-big-tall&dwvar492046_colorname=Rugby%20Royal%20Multi&webcat=MEN%2FClothing%2FBig%20%20%20Tall
Classic Fit Oxford Shirt,"€ 119,00",https://www.ralphlauren.eu/pt/en/classic-fit-oxford-shirt-492028.html?cgid=men-big-tall&dwvar492028_colorname=Company%20Olive&webcat=MEN%2FClothing%2FBig%20%20%20Tall
