Name,Price,Picture link
Camo Fleece Hoodie,"€ 169,00",https://www.ralphlauren.eu/pt/en/camo-fleece-hoodie-489303.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar489303_colorname=British%20Elmwood%20Camo
Camo Double-Knit Hoodie,"€ 269,00",https://www.ralphlauren.eu/pt/en/camo-double-knit-hoodie-489436.html?cgid=men-clothing-hoodies-sweatshirts&dwvar489436_colorname=Camo%20Multi&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Crewneck Sweatshirt,"€ 139,00",https://www.ralphlauren.eu/pt/en/fleece-crewneck-sweatshirt-490878.html?cgid=men-clothing-hoodies-sweatshirts&dwvar490878_colorname=Classic%20Wine&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Logo Hooded T-Shirt,"€ 89,00",https://www.ralphlauren.eu/pt/en/logo-hooded-t-shirt-489332.html?cgid=men-clothing-hoodies-sweatshirts&dwvar489332_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Preppy Bear Fleece Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/preppy-bear-fleece-sweatshirt-499785.html?cgid=men-clothing-hoodies-sweatshirts&dwvar499785_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Hoodie,"€ 149,00",https://www.ralphlauren.eu/pt/en/fleece-hoodie-490877.html?cgid=men-clothing-hoodies-sweatshirts&dwvar490877_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Jersey Half-Zip Pullover,"€ 139,00",https://www.ralphlauren.eu/pt/en/jersey-half-zip-pullover-462516.html?cgid=men-clothing-hoodies-sweatshirts&dwvar462516_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Sport Fleece Sweatshirt,"€ 149,00",https://www.ralphlauren.eu/pt/en/polo-sport-fleece-sweatshirt-480621.html?cgid=men-clothing-hoodies-sweatshirts&dwvar480621_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Cotton-Blend Graphic Hoodie,"€ 149,00",https://www.ralphlauren.eu/pt/en/cotton-blend-graphic-hoodie-480595a1.html?cgid=men-clothing-hoodies-sweatshirts&dwvar480595a1_colorname=Bastille%20Blue&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Suit Bear Fleece Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/suit-bear-fleece-sweatshirt-505143.html?dwvar505143_colorname=Stadium%20Pepper%20Heather&cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Hoodie,"€ 169,00",https://www.ralphlauren.eu/pt/en/polo-hoodie-506828.html?cgid=men-clothing-hoodies-sweatshirts&dwvar506828_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Big Pony Sweatshirt,"€ 149,00",https://www.ralphlauren.eu/pt/en/big-pony-sweatshirt-489329.html?dwvar489329_colorname=Aviator%20Navy%2FTonal%20Pp&cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Marlin Spa Terry Sweatshirt,"€ 169,00",https://www.ralphlauren.eu/pt/en/marlin-spa-terry-sweatshirt-480905.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar480905_colorname=Blue%20Marlin
Captain Bear Mesh Hooded Tee,"€ 179,00",https://www.ralphlauren.eu/pt/en/captain-bear-mesh-hooded-tee-471316.html?cgid=men-clothing-hoodies-sweatshirts&dwvar471316_colorname=Cruise%20Navy%2FWhite&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Bear Hooded Tee,"€ 89,00",https://www.ralphlauren.eu/pt/en/polo-bear-hooded-tee-509318.html?cgid=men-clothing-hoodies-sweatshirts&dwvar509318_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Crewneck Sweatshirt,"€ 139,00",https://www.ralphlauren.eu/pt/en/fleece-crewneck-sweatshirt-509263.html?cgid=men-clothing-hoodies-sweatshirts&dwvar509263_colorname=Heritage%20Royal%2FC1730&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-knitted Full-Zip Hoodie,"€ 145,00",https://www.ralphlauren.eu/pt/en/double-knitted-full-zip-hoodie-440583.html?dwvar440583_colorname=Lt%20Sport%20Heather&cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Preppy Bear Fleece Hoodie,"€ 169,00",https://www.ralphlauren.eu/pt/en/preppy-bear-fleece-hoodie-490879.html?cgid=men-clothing-hoodies-sweatshirts&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts&dwvar490879_colorname=College%20Green
Fleece Crewneck Sweatshirt,"€ 139,00",https://www.ralphlauren.eu/pt/en/fleece-crewneck-sweatshirt-531014.html?cgid=men-clothing-hoodies-sweatshirts&dwvar531014_colorname=Andover%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-Knit Half-Zip Pullover,"€ 159,00",https://www.ralphlauren.eu/pt/en/double-knit-half-zip-pullover-492652.html?cgid=men-clothing-hoodies-sweatshirts&dwvar492652_colorname=Circuit%20Brown%20Heather&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Polo Bear Hooded Tee,"€ 89,00",https://www.ralphlauren.eu/pt/en/polo-bear-hooded-tee-513431.html?cgid=men-clothing-hoodies-sweatshirts&dwvar513431_colorname=Cruise%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Graphic Hooded T-Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/graphic-hooded-t-shirt-480617.html?cgid=men-clothing-hoodies-sweatshirts&dwvar480617_colorname=Red%20Sky&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Fleece Hoodie,"€ 149,00",https://www.ralphlauren.eu/pt/en/fleece-hoodie-506775.html?cgid=men-clothing-hoodies-sweatshirts&dwvar506775_colorname=College%20Green%2FC4939&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Double-Knit Graphic Sweatshirt,"€ 199,00",https://www.ralphlauren.eu/pt/en/double-knit%C2%A0graphic-sweatshirt-509351.html?cgid=men-clothing-hoodies-sweatshirts&dwvar509351_colorname=Newport%20Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
Sportsman Hooded T-Shirt,"€ 99,00",https://www.ralphlauren.eu/pt/en/sportsman-hooded-t-shirt-489322.html?cgid=men-clothing-hoodies-sweatshirts&dwvar489322_colorname=Navy&webcat=MEN%2FClothing%2FHoodies%20%20%20Sweatshirts
